书号	书名	类别	作者	出版社	总库存	已出借册数
A001	西方戏剧理论史	Art	周宁	厦门大学出版社	14	8
A002	中国现代花鸟画全集	Art	贾德江	河北教育出版社	8	5
A003	美的历程	Art	李泽厚	生活·读书·新知三联书店	10	8
A004	中国电影百年	Art	佐藤忠男	上海书店出版社	4	2
A005	子不语	Art	夏达	新世纪出版社	9	3
A006	乌龙院经典四格漫画	Art	敖幼祥	黑龙江美术出版社	14	10
A007	中国电影艺术史	Art	周星	北京大学出版社 	6	3
A008	石涛画集	Art	石涛	荣宝斋出版社	4	1
A009	巴赫平均律钢琴曲集	Art	布鲁诺	湖南文艺出版社	12	9
A010	拉威尔钢琴曲选	Art	洪士銈	人民音乐出版社	6	2
A011	戏剧思维	Art	陈世雄	福建教育出版社	7	5
A012	超越平凡的人文摄影	Art	王牧	人民邮电出版社	4	4
A013	日本动漫艺术概论	Art	陈奇佳	上海交通大学出版社 	3	2
A014	当代名家花鸟画稿	Art	李魁正	河南美术出版社 	15	6
A015	一招出牛片	Art	徐晓刚	人民邮电出版社	2	2
A016	导演术基础	Art	张骏祥	中国戏剧出版社	3	1
A017	西欧戏剧史	Art	廖可兑	中国戏剧出版社	4	2
A018	映像中国	Art	焦雄屏	复旦大学出版社	3	2
A019	宋元戏曲史	Art	王国维	华东师范大学出版社 	5	4
A020	观众心理美学	Art	余秋雨	现代出版社	3	3
E001	中级财务会计学	Economy	杜兴强	中国人民大学出版社 	10	8
E002	计量经济学基础	Economy	达摩达尔	中国人民大学出版社 	12	12
E003	微观经济学	Economy	罗伯特	中国人民大学出版社 	9	8
E004	经济学原理	Economy	曼昆	生活·读书·新知三联书店	29	14
E005	货币战争	Economy	宋鸿兵	中信出版社	7	3
E006	牛奶可乐经济学	Economy	罗伯特	中国人民大学出版社 	5	4
E007	大败局	Economy	吴晓波	浙江人民出版社	8	7
E008	宏观经济学	Economy	曼昆	中国人民大学出版社 	9	6
E009	通往奴役之路	Economy	哈耶克	中国社会科学出版社 	13	13
E010	高级计量经济学	Economy	金赛男	北京大学出版社	8	6
E011	证券分析	Economy	多德	中国人民大学出版社 	6	2
E012	竞争优势	Economy	迈克尔	华夏出版社	14	12
E013	博弈论基础	Economy	吉本斯	中国社会科学出版社 	10	4
E014	计量经济分析	Economy	威廉	中国人民大学出版社 	14	11
E015	管理会计	Economy	余恕莲	对外经济贸易大学出版社 	3	2
E016	高级计量经济学	Economy	洪永淼	高等教育出版社	4	2
E017	再保险	Economy	陈之楚	中国金融出版社	6	4
E018	麦肯锡方法	Economy	艾森	机械工业出版社	4	4
E019	基业长青	Economy	詹姆斯	中信出版社	12	8
E020	社会保险精算教程	Economy	李恒琦	西南财经大学出版社	4	1
H001	明朝那些事儿	History	当年明月	中国友谊出版社	26	20
H002	中国通史	History	范文澜	人民出版社 	24	19
H003	剑桥中华民国史	History	费正清	中国社会科学出版社	20	20
H004	汉朝那些事儿	History	飘雪楼主	中国工人出版社 	20	18
H005	祖先	History	易中天	浙江文艺出版社	7	7
H006	万历十五年	History	黄仁宇	中华书局	7	4
H007	巨流河	History	齐邦媛	生活·读书·新知三联书店	7	4
H008	文明之光	History	吴军	人民邮电出版社	6	3
H009	全球通史	History	海斯	江西教育出版社	6	2
H010	厦门史略	History	李启宇	福建人民出版社	8	5
H011	史记	History	司马迁	上海古籍出版社	8	8
H012	西方文明简史	History	张旭鹏	四川文艺出版社	5	3
H013	南明史	History	顾诚	光明日报出版社	12	9
H014	中国宗族史	History	冯尔康	上海人民出版社	4	1
H015	爱上老厦门	History	高振碧	电子工业出版社	6	3
H016	苹果教父乔布斯传	History	施谱越	中国书店	6	4
H017	罗马人的故事	History	盐野七生	中信出版社	6	3
H018	西太平洋上的航海者	History	布罗尼斯拉夫	中国社会科学出版社 	5	4
H019	近代中国八十年	History	陈旭麓	上海人民出版社 	10	9
H020	考古学专题六讲	History	张光直	生活·读书·新知三联书店	7	2
I001	算法	IT	Robert 	人民邮电出版社	5	3
I002	信号与系统	IT	郑君里	高等教育出版社 	19	15
