学号	书号	借阅日期	应还日期（借阅期限两个月）
S1153001	A010	2016.07.11	2016.09.11
S1153002	A003	2016.05.13	2016.07.13
S1153003	A017	2016.07.01	2016.09.01
S1153004	M020	2016.06.21	2016.08.21
S1153005	M003	2016.03.11	2016.05.11
S1153006	M011	2016.03.21	2016.05.21
S1153007	E002	2016.04.24	2016.06.24
S1153008	E013	2016.05.30	2016.07.30
S1153009	E018	2016.04.14	2016.06.14
S1153010	L004	2016.05.14	2016.07.14
S1153011	L019	2016.03.14	2016.05.14
S1153012	L011	2016.03.30	2016.05.30
S1153013	L020	2016.05.14	2016.07.14
S1153014	H003	2016.04.02	2016.06.02
S1153015	H008	2016.06.12	2016.08.12
S1153016	H014	2016.06.15	2016.08.15
S1153017	I020	2016.06.22	2016.08.22
S1153018	I014	2016.05.12	2016.07.12
S1153019	I004	2016.05.22	2016.07.22
S1153020	A008	2016.05.12	2016.07.12
S1153021	M009	2016.04.30	2016.06.30
S1153022	H018	2016.04.12	2016.06.12
S1153023	I013	2016.05.30	2016.07.30
S1153024	M007	2016.06.30	2016.08.30
S1153025	A014	2016.04.11	2016.06.11
S1153026	E006	2016.05.11	2016.07.11
S1153027	E015	2016.06.11	2016.08.11
S1153028	M004	2016.04.18	2016.06.18
S1153029	H012	2016.03.18	2016.05.18
S1153030	H008	2016.05.18	2016.07.18
S1153031	M019	2016.06.18	2016.08.18
S1153032	M017	2016.05.01	2016.07.01
S1153033	L006	2016.06.01	2016.08.01
S1153034	L008	2016.07.01	2016.09.01
S1153035	M012	2016.07.08	2016.09.08
S1153036	A019	2016.07.07	2016.09.07
S1153037	E020	2016.06.08	2016.08.08
S1153038	E009	2016.05.08	2016.07.08
S1153039	L007	2016.05.18	2016.07.18
S1153040	L005	2016.06.18	2016.08.18
S1153041	A015	2016.05.20	2016.07.20
S1153042	A005	2016.06.20	2016.08.20
S1153043	H010	2016.05.25	2016.07.25
S1153044	H001	2016.05.25	2016.07.25
S1153045	I002	2016.05.26	2016.07.26
S1153046	I019	2016.05.27	2016.07.27
S1153047	I011	2016.05.28	2016.07.28
S1153048	M010	2016.05.29	2016.07.29
S1153049	M005	2016.05.30	2016.07.30
S1153050	M006	2016.05.31	2016.07.31
S1153051	E001	2016.06.01	2016.08.01
S1153052	E001	2016.06.02	2016.08.02
S1153053	H001	2016.06.03	2016.08.03
S1153054	H007	2016.06.04	2016.08.04
S1153055	L014	2016.06.05	2016.08.05
S1153056	H015	2016.06.06	2016.08.06
S1153057	A001	2016.06.07	2016.08.07
S1153058	A010	2016.06.08	2016.08.08
S1153059	A002	2016.06.09	2016.08.09
S1153060	A016	2016.06.10	2016.08.10
S1153061	I001	2016.06.11	2016.08.11
S1153062	I012	2016.06.12	2016.08.12
S1153063	I014	2016.06.13	2016.08.13
S1153064	I015	2016.06.14	2016.08.14
S1153065	H002	2016.06.15	2016.08.15
S1153066	H009	2016.06.16	2016.08.16
S1153067	H011	2016.06.17	2016.08.17
S1153068	H017	2016.06.18	2016.08.18
S1153069	H002	2016.06.19	2016.08.19
S1153070	L003	2016.06.20	2016.08.20
S1153071	L001	2016.06.21	2016.08.21
S1153072	L013	2016.06.22	2016.08.22
S1153073	L012	2016.06.23	2016.08.23
S1153074	E011	2016.06.24	2016.08.24
S1153075	E012	2016.06.25	2016.08.25
S1153076	E019	2016.06.26	2016.08.26
S1153077	E003	2016.06.27	2016.08.27
S1153078	M002	2016.06.28	2016.08.28
S1153079	M008	2016.07.02	2016.09.02
S1153080	M001	2016.07.03	2016.09.03
S1153081	A009	2016.07.04	2016.09.04
S1153082	A006	2016.07.05	2016.09.05
S1153083	A007	2016.07.06	2016.09.06
S1153084	A004	2016.07.07	2016.09.07
S1153085	A011	2016.07.08	2016.09.08
S1153086	I009	2016.07.09	2016.09.09
S1153087	I008	2016.07.10	2016.09.10
S1153088	I002	2016.07.11	2016.09.11
S1153089	M018	2016.07.12	2016.09.12
S1153090	E008	2016.07.13	2016.09.13
S1153091	A002	2016.07.14	2016.09.14
S1153092	A012	2016.05.15	2016.07.15
S1153093	E013	2016.05.16	2016.07.16
S1153094	E015	2016.05.17	2016.07.17
S1153095	H008	2016.05.18	2016.07.18
S1153096	M009	2016.05.19	2016.07.19
S1153097	A009	2016.05.20	2016.07.20
S1153098	A018	2016.05.21	2016.07.21


